course code|link|course name|description
INF1240H|http://current.ischool.utoronto.ca/course-descriptions/inf1240h|Research Methods|"Focuses on developing an understanding of appropriate quantitative and qualitative research methodologies and relevant descriptive and inferential statistics for the investigation of both practical and theoretical problems in the information professions. By considering the nature, concepts, and logic of the research enterprise, permits a critically informed assessment of published research, including data gathering and data analysis procedures.
The course offers an overview of the different approaches, considerations and challenges involved in social research. The objectives of the course are to provide students with the tools and skills required to understand research terminology and assess published research, identify the types of methods best suited for investigating different types of problems and questions, develop research questions that are based on and build upon a critical appraisal of existing research, design a research proposal, and begin initial preparations for embarking on a new research project."
INF1300H|http://current.ischool.utoronto.ca/course-descriptions/inf1300h|Foundations in Library and Information Science|"The objectives of this course are to (1) provide students with an overview of the information professions and the disciplines of library and information science; (2) present and critically reflect on the core assumptions, principles and values that inform the library and information science professions; and (3) introduce the students to the major current issues in library and information science and provide them with tools to make informed choices regarding current and emerging practices.
The course covers the practice of librarianship and the development of information science from past to present, the place of libraries in the broader information environment, the growth of information and communication technologies, as well as intellectual organization and information policy issues in/for libraries. Various types of libraries (public, academic, and special libraries) will be examined along with the major organizational and intellectual issues they face."
INF1310H|http://current.ischool.utoronto.ca/course-descriptions/inf1310h|Introduction to Reference|"An introduction to the relationship between users and recordable information. Origin, evaluation, and use of general information sources in print and electronic form; principles of information service; acquisition, collection and exploitation of information resources in local and national institutions.
Note: 
Formerly Information Resources and Services; no change in content"
INF1320H|http://current.ischool.utoronto.ca/course-descriptions/inf1320h|Knowledge Organization|"Principles and methods of describing, analyzing and organizing information and materials for storage and retrieval. Within the context of user needs, examines bibliographic access through codes, standards, tools and technologies. Winter 2011 detailed description for Introduction to Bibliographic Control Focus on library cataloguing
Note: 
Formerly ""Introduction to Bibliographic Control""; no change in content."
INF1325H|http://current.ischool.utoronto.ca/course-descriptions/inf1325h|Online Information Retrieval|Focuses on the principles and methods of information retrieval through interactive database searching. Problems of database organization and structure, question negotiation, strategy formulation, multidatabase searching and online search service management are investigated. Critical examination and evaluation of major vendors and their systems. Note: Good working knowledge of basic computer applications such as document preparation and spreadsheets is expected.
INF1330H|http://current.ischool.utoronto.ca/course-descriptions/inf1330h|Archives Concepts and Issues|The goal of this course is to introduce students to the key concepts and issues associated with archival theory, methodology and practice. The course is organized around three broad themes: the nature and purpose of archival documents and archival aggregations; contexts of creation and preservation; and professional development.
INF1331H|http://current.ischool.utoronto.ca/course-descriptions/inf1331h|Archival Arrangement and Description|"The goal of this course is to provide students with the theoretical and methodological knowledge necessary to arrange and describe archival documents. Topics include the principles and methods underlying the arrangement of archival documents as well as the description of archival materials and the establishment of name access points according to standards adopted by the archival community.
Pre-requisite: 
INF1330H"
INF1340H|http://current.ischool.utoronto.ca/course-descriptions/inf1340h|Introduction to Information Systems|"The purpose of this course is to provide a common basis for understanding the nature of information systems in their organizational contexts and implement components that may comprise them. We study how we can arrive at an implemented solution from individual requirements and modeling of specific problems. Topics covered will include: definition of an information system; nature of the interaction among components (e.g. database, text files) and how we can set them up in a real environment using a programming language as a vehicle; specifications of systems and components; methods of development and evaluation; control of the design process; error checking.
Note effective September 2013
In transitioning to the new IS&D concentration (from the current status of IS&D as a path), we are (re)introducing an updated version of INF1340H (previously taught until 2009). Building upon the basic knowledge acquired in INF1003H, this course will explore fundamental concepts of information systems in greater depth. There will be a deeper coverage of technical topics, including software principles and practices, programming concepts and techniques, data structures, and system development methods and practices. As in INF1003H, there will be an emphasis on a critical understanding of the interaction between technical systems and their components on one hand and organizational actors and contexts on the other. These will be explored through in-depth discussions of case studies, live programming in-class by the instructor and team programming for the students. The course will provide a firm foundation for specializing in Information Systems and Design.
Pre-requisite: 
Students are expected to have some familiarity with information technology concepts such as hardware, software, networks, and systems design. Students with little or no experience with IT systems are strongly urged to take 1003 concurrently with or before taking 1340. 
Note: 
Replaced by INF1003, Fall 2009, only for those wishing to adhere to requirements effective until August, 2013.

Required for the IS&D concentration effective September 2013. Not equivalent to INF1003H under the requirements effective September 2013."
INF1341H|http://current.ischool.utoronto.ca/course-descriptions/inf1341h|System Analysis and Process Innovation|"Multiple methods for modelling and analyzing information systems in their application contexts. Systematic techniques for representing and analyzing process and data, use cases and scenarios, stakeholder goals and relationships. Requirements exploration and definition. Operational and strategic perspectives.
Pre/Co-requisite: 
INF1003H or FIS1340H or equivalent, or permission of instructor. 
Note: 
Formerly Analyzing Information Systems; no change in content."
INF1342H|http://current.ischool.utoronto.ca/course-descriptions/inf1342h|System Requirements and Architectural Design|"Designing information systems in the face of competing goals from multiple stakeholders, e.g., efficiency, cost, reliability, security, privacy, usability, adaptability, reusability, time-to-market. Systematic techniques and models for identifying and evaluating alternatives. Non-functional requirements and architectural design. Organizing design knowledge for reuse.
For more information, please see Prof. Yu's course outline from a previous year.
Pre-requisite: 
INF1003H and INF1341H or permission of instructor 
Note: 
Formerly Designing Information Systems; no change in content."
INF1343H|http://current.ischool.utoronto.ca/course-descriptions/inf1343h|Data Modeling and Database Design|"The purpose of this course is to provide an introduction to databases by analyzing their structure, content and measurement and by applying principles governing data modeling, database design and production with an emphasis on modeling, design and representation of content, decisions and tradeoffs involved in modeling, design and creation, and issues of standardization, security and emerging trends.
Pre-requisite: 
FIS1340H, INF1003H, or a university/college level programming course 
Note: 
Formerly Database Design; no change in content."
INF1501H|http://current.ischool.utoronto.ca/course-descriptions/inf1501h|Culture & Technology I|Introduction to the wide range of issues and methodologies employed across the academy to identify, understand, analyze, investigate, and critique issues at the intersection of culture and technology. Provides a background in philosophy of information, philosophy of technology, and science and technology studies. Affiliated with the McLuhan Program in Culture & Technology, a program of the Coach House Institute (CHI). Particular focus on socio-technical issues having to do with computing, information systems and services, digital technologies, media, and the internet and social media.
INF1502H|http://current.ischool.utoronto.ca/course-descriptions/inf1502h|Culture & Technology II|"In-depth exploration of student-selected issues at the intersection of culture and technology, using the philosophical, critical, and methodological skills, knowledge, and techniques developed in INF1501H Culture & Technology I. Students will identify a topic on which they have educational and/or professional background, and explore the socio- technical consequences of that issue’s transformation in virtue of the development of computing, digital technologies, and information systems, services, and practices. Affiliated with the McLuhan Program in Culture & Technology, a program of the Coach House Institute (CHI).
Pre-requisite: 
INF1501H Culture & Technology I"
INF1601Y|http://current.ischool.utoronto.ca/course-descriptions/inf1601y|KMD Capstone Project|"The capstone KMD project gives students the opportunity to shape their own learning by planning and executing a major KMD project that contributes to KMDI, FI, the University or the wider community. In this year-long course students work in diverse ‘collaborative’ teams to execute a major KMD project.
The course is divided into two related and cumulative halves. The first term focuses on ideation, team building and project design. The term will culminate in a Design Brief that will outline the central objectives, scope and logistics involved in creating and organizing the project. In the second term, students will work in the groups of 3-5 to execute the approved short-term project that tackles KMD themes and topics. Workshops and seminars will be based around the project milestones including: prototype I critique, prototype II critique and final presentation. The final presentations will be open to other students and the broader community.
Pre-requisite: 
KMD1001H, KMD1002H, KMD2001H, and INF2040H or equivalent 
Note: 
Students taking this course must be enrolled in the KMD concentration or special permission by concentration liaison is required."
INF2010H|http://current.ischool.utoronto.ca/course-descriptions/inf2010h|Reading Course|A reading course in a special field to be carried out under the supervision of a member of the faculty (With the permission of the Graduate Coordinator). See Reading Courses for further details.
INF2011H|http://current.ischool.utoronto.ca/course-descriptions/inf2011h|Reading Course|A reading course in a special field to be carried out under the supervision of a member of the faculty (With the permission of the Graduate Coordinator). See Reading Courses for further details.
INF2040H|http://current.ischool.utoronto.ca/course-descriptions/inf2040h|Project Management|"This elective course covers the nature of projects, project management tools, techniques and organizational and interpersonal issues in project management within the context of the different types of projects in the information profession. The course will cover project management principles in general, project scope, organizational, leadership, interpersonal and political aspects of project management, and tools and techniques to support planning, budgeting, resource allocation and other technical aspects of project management.
Recommended: 
INF1230H 
Note: 
Formerly Special Topics ... FIS/INF2301; no change in content."
INF2102H|http://current.ischool.utoronto.ca/course-descriptions/inf2102h|Geographic Information Systems (GIS) in Libraries|"This course will examine issues and topics surrounding the management of map and geospatial data collections and services. Broadly, the course will cover the role of information professionals and librarians in the world of Geographic Information Systems (GIS). Emphasis will be put on the academic and government setting, but GIS use in industry and other sectors will also be examined. Topics covered in the course will include the history of geographic information sources from paper to digital, GIS reference, critical cartography, geographic Information and map literacy; data acquisition and licensing; open data, open software, and open government; spatial data infrastructure, data archiving, web mapping, and spatial analysis.
 
Note: 
Not offered 2013-2014. Please see GGR1922H Topics in Geographical Information Science for related course."
INF2103H|http://current.ischool.utoronto.ca/course-descriptions/inf2103h|Diplomatics and Genre Theory: Understanding Forms and Functions of Traditional and Contemporary Records|"This course builds on the body of theories, methods, and practices introduced in INF1330H and INF2175H. By drawing on the principles, concepts, and methods of diplomatics, an old archival discipline specialized in the form and function of documents created in business contexts, the first part of the course will uncover the physical and intellectual articulation of traditional records, both paper-based and electronic. Digital preservation issues, with particular regard to establishing and protecting the authenticity of electronic records, will be discussed at the end of this first part.
In the second part of the course, the concept of genre will be introduced in order to provide a different reading of the semantic, syntactic, and pragmatic components of written and unwritten texts, and to enable the analysis of contemporary, non-traditional information objects, including web records and social media. By combining diplomatics and genre theory, the course aims at enabling students to understand the specific characteristics of records and their aggregations, the relationships between records creators, records forms and functions, and the evolution of the structure of information objects as socially constructed communicative actions.
Pre-requisite: 
INF1330 and INF2175 
Note: 
Formerly: ""Advanced Records Management: Understanding Forms and Functions of Records in Contemporary Organizations."" No change in content."
INF2110H|http://current.ischool.utoronto.ca/course-descriptions/inf2110h|Design and Evaluation of Information Literacy Programs|"Explores the theoretical underpinnings and practical applications of information literacy courses and programs offered by librarians, archivists and other information professionals. Discusses the meaning of information literacy and its centrality to personal and societal development; critically appraises national and international standards and models for information literacy; explores teaching and learning theories and strategies; creates lessons plans and incorporates appropriate instructional technologies; explores theories and methods for assessment of learners, and evaluation of instructors, courses and programs.
Pre-requisite: 
INF1001, or permission of instructor"
INF2115H|http://current.ischool.utoronto.ca/course-descriptions/inf2115h|Data Librarianship|"The course will address topics in the acquisition, management and retrieval of numerical information, both aggregated (statistics) and disaggregated (data). Topics will include public, private and academic sector data gathering, statistical production and dissemination, data warehousing and management, data repositories and consortia, user needs and the reference interview, data extraction and manipulation, and privacy issues. While the focus will be on socio-economic data and statistics, business and scientific datasets and statistical products will be discussed as well. The course will take the form of lectures and tutorials. There will also be a significant lab component outside of the scheduled hours.
Pre-requisite: 
INF1310H"
INF2120H|http://current.ischool.utoronto.ca/course-descriptions/inf2120h|Conservation and Preservation of Recorded Information|An introductory course in preservation issues covering both restoration of the artifact and preservation of content. Topics include composition and manufacture of paper, principles and ethics of restoration; restoration methods; archival conservation practices; rare book conservation practices; preservation microfilming, theory and practice; national and international preservation filming efforts; mass deacidification; organization, administration and funding of preservation efforts; new document substrates; and, emergency and disaster planning.
INF2121H|http://current.ischool.utoronto.ca/course-descriptions/inf2121h|Specialized Archives|"The application of theory in addressing the practical problems of developing archival programs and services in national and international archival systems. The focus is on how the essential functions of any archives are translated into practice in the context of national and international systems.
Pre-requisite: 
INF1330 or permission of instructor"
INF2122H|http://current.ischool.utoronto.ca/course-descriptions/inf2122h|Digital Preservation and Curation|"This course examines the creation, curation, conservation, and preservation of digital materials in both the public and private sectors and enables students to develop an appreciation of the principles of management of digital information in the context of digital longevity. Students gain an understanding of the organizational, technical, social, and economic challenges encountered when enabling the long-term availability of digital materials.
It provides an introduction to key models, workflows (from pre-ingest to dissemination), policies, characteristics of digital repositories, standards, metadata, annotation, audit and certification, technical approaches from hardware preservation to emulation, and future research challenges that need to be addressed if the preservation landscape is to be transitioned out of an arts and craft mode.
Pre-requisite: 
INF2175H or INF2186H 
Note: 
Formerly INF2302H Special Topics in Information Studies: Digital Preservation and Curation; no change in content."
INF2124H|http://current.ischool.utoronto.ca/course-descriptions/inf2124h|Surveillance and Identity|"Following Foucault and others, we can think of surveillance as a discursive technique which produces knowledge and identities. Surveillance infrastructures infiltrate and mediate everyday life. For example, internet “cookies,” shopping loyalty cards, and mobile phone numbers all individuate and identify us. These identifiers are used to index databases recording our web surfing activities, our movements, and our purchases.
The databases are subjected to statistical analysis in order to produce knowledge of demographic categories, typical patterns, or suspect behavior. This knowledge is then applied back to individuals in the population in order to assign each to a particular niche market or risk group, and to act toward them accordingly. Thus, through surveillance, knowledge is created, categories and types are produced, and individuals are made visible as representatives of those types. This course investigates the technical, social, and legal contexts and implications of these practices.
Note: 
Formerly FIS2305H; no change in content."
INF2125H|http://current.ischool.utoronto.ca/course-descriptions/inf2125h|Information and Culture in a Global Context|"Examines the trends, issues, and policies affecting the development of information agencies (e.g., libraries, archives, networked organizations, professional associations and major international organizations active in this area) around the world; access to information; transborder data flow. Emphasis will be on the choices and values embedded in the design and use of information, its agencies, and its technologies; along with how these might be translated across different cultural contexts.
Recommended: 
INF1001H 
Note: 
Not offered in 2013-2014"
INF2126H|http://current.ischool.utoronto.ca/course-descriptions/inf2126h|Public Library Services to Culturally Diverse Communities|"The purpose of this course is to study the impact of cultural diversity on the development of the public library as an information and cultural resources institution. It covers issues affecting the planning, organization and delivery mechanisms of multicultural resources, services and programs, including demographics and their relation to multicultural policies and planning; approaches to service delivery; collection development practices; impact of technology on information and access; staff competencies and user education programs; and communicating with and engaging the multicultural community.
Note: 
Formerly FIS2196H; no change in content. -- Not offered in 2013/2014"
INF2127H|http://current.ischool.utoronto.ca/course-descriptions/inf2127h|Collection, Development, Evaluation and Management|An overview of the theories and methods of collection development that situates public and academic libraries within the broad framework of the publishing industry. Covers issues relevant to the selection of print and electronic resources, with an emphasis on alternative literatures and independent presses. Discusses topics relevant to the management of collections, including policy formulation, the acquisitions process, vendor agreements, budgets, qualitative and quantitative evaluation techniques, liaison activities, withdrawal of materials, and collaborations.
INF2128H|http://current.ischool.utoronto.ca/course-descriptions/inf2128h|Serials Management|Selecting and managing serials in libraries and other institutional settings have always posed special challenges for information professionals. In the electronic environment, these challenges have only grown in complexity. This course discusses the evolving nature of serials publication; business models adopted by publishers and vendors of serials; economic effects of serials on libraries; scholarly communication and its diffusion in journals; alternative models for scholarly publications; challenges and opportunities associated with remote-access serials; creating policies and budgets for serials acquisitions; and methods of selecting, licensing, evaluating, managing, and preserving serials collections. The course combines lectures, guest speakers, class discussion, and student presentations.
INF2133H|http://current.ischool.utoronto.ca/course-descriptions/inf2133h|Legal Literature and Librarianship|"Introduction to legal bibliography and the methods of legal research, emphasizing Canadian legal resources. Coverage will also include British, American and international legal materials. Teaching will cover primary and secondary legal resources, both in print and electronic formats.
Pre-requisite: 
INF1310H"
INF2134H|http://current.ischool.utoronto.ca/course-descriptions/inf2134h|Business Information Resources|"Critical survey of the literature of business and finance with emphasis on bibliographies, reference materials, statistical materials and business services. New developments in the business information field and problems in business and financial libraries.
Pre-requisite: 
INF1310H"
INF2135H|http://current.ischool.utoronto.ca/course-descriptions/inf2135h|Health Sciences Information Resources|"A study of information resources and services in the health sciences. The identification, acquisition, organization and use of information resources in both print and electronic forms in health sciences libraries and specialized information centres. The role of the librarian and information specialist is examined in relation to the changing health care environment. Use of MEDLINE and other databases produced by the US National Library of Medicine is required.
Pre-requisite: 
INF1310H"
INF2136H|http://current.ischool.utoronto.ca/course-descriptions/inf2136h|Government Information and Publications|"Publishing and distribution policies and practices of Canadian governments at all levels, and secondarily of the governments of the United States and Great Britain, and of intergovernmental agencies. Bibliographical control and use of government publications and their organization in libraries.
Recommended: 
INF1310H"
INF2141H|http://current.ischool.utoronto.ca/course-descriptions/inf2141h|Children's Cultural Texts and Artifacts|"This course will provide students with a forum for engaging in historically grounded explorations of the centrality of cultural texts and artifacts within contemporary childhood.
From toys to fairy tales, books to videogames, this course adopts a multi-disciplinary approach to examine how texts and artifacts not only play a crucial role within children’s culture, but furthermore reflect and reproduce dominant (and oftentimes conflicting) ideologies, traditions, controversies and social values.
Students will examine the complex interplay between children’s texts and artifacts, particularly as it relates to the concurrent rise of transmedia intertextuality and commercialization within children’s culture. They will learn about the key issues, institutions and “cultural gatekeepers” (including librarians) involved in the production, circulation and management of adult-produced texts and artifacts for children, and the ways in which children in turn engage with these texts and artifacts as part of a deeply meaningful shared cultural experience. A variety of examples and case studies will be examined, through in-class analysis and discussion of foundational children’s books, films, television series, toys, video games and digital applications. Recurring motifs, narrative themes and genres will be addressed. Special emphasis will be placed on understanding the continuities and discontinuities that exist between new and traditional cultural forms.
Students will also be invited to consider the unique set of opportunities and challenges associated with digital technologies, and how they are currently (re)shaping children’s culture in potentially significant ways.
Note: 
Formerly INF2304H Special Topics ... No change in context. 
Not offered in 2013-2014."
INF2143H|http://current.ischool.utoronto.ca/course-descriptions/inf2143h|Issues in Chidren's and Young Adults' Services|"This course focuses on program and policy issues in information services for children and young adults. The objectives are to ensure students' understanding of current issues and their contexts and to prepare them for professional leadership in service and facility design and management. The course draws upon guest experts in its exploration of issues. It combines in-person and online delivery. It is complementary to INF2139H (Young People: Collection Development) and INF2140H (Young People: Current and Emerging Information Practices).
Note: 
Formerly INF2303H Special Topics ... No change in context."
INF2145H|http://current.ischool.utoronto.ca/course-descriptions/inf2145h|Creation and Organization of Bibliographic Records|"Problems in creating and organizing bibliographic records for monographs, serials, government documents, audio-visual materials and other information sources, in both manual and automated environments. Analysis and evaluation of solutions from various cataloguing codes and other international standards.
Pre-requisite: 
INF1320 or INF1331"
INF2149H|http://current.ischool.utoronto.ca/course-descriptions/inf2149h|Administrative Decision-Making in Information Organizations|"Stresses analytical models of how problems are solved and decisions are made in information organizations. Introduces models and methods from organization theory, decision science, and information needs and uses studies.
Pre-requisite: 
INF1230H"
INF2150H|http://current.ischool.utoronto.ca/course-descriptions/inf2150h|Legal Issues in Archives|"The course will introduce students to the legal framework that applies to the creation, management, preservation and use of public and private archival documents in Canada. The specific objective of this course is to provide students with an understanding of the fundamental concepts of the Canadian legal system and of the implications and challenges of the law for public and private sector archival institutions.
Course topics include: an overview of the Canadian legal system; archives’ legal framework; legal issues in acquisition and ownership; cultural property and tax laws; freedom of information and protection of privacy laws; intellectual property law; evidence law; and archival ethics. Course content will be delivered through a combination of lectures, class discussions, in-class activities, and guest-speakers.
Pre-requisite: 
INF1330H"
INF2152H|http://current.ischool.utoronto.ca/course-descriptions/inf2152h|Advocacy and Library Issues|"This course will provide students with knowledge needed to understand the advocacy process and exercise professional leadership in the advocacy of library issues. Such advocacy may relate to policy, funds, support, or partnership, and may be directed to internal or external decision-makers. The course includes the nature of advocacy, the relationship of advocacy to promotion and marketing, decision-makers' environments and their perceptions of libraries, and the identification and engagement of stakeholders. Major emphasis is on the development of advocacy programs (objectives, target groups, obstacles, communication tools, and evaluation). Although the course focuses on publicly funded libraries, most principles, examples, and case studies are relevant to all types of libraries.
Pre-requisite: 
INF1230H 
Note: 
Delivery method: Distance. First class only: in-person or via teleconference (TBA). Formerly FIS 2199H Special Topics... No change in context."
INF2153H|http://current.ischool.utoronto.ca/course-descriptions/inf2153h|Technical Services: Organization and Administration|"Function of technical services in the library. Problems and policies in the acquisition, organization and processing of library materials. Present and future development in the production and maintenance of library records as they are related to the technical services.
Pre-requisite: 
INF1230H"
INF2155H|http://current.ischool.utoronto.ca/course-descriptions/inf2155h|The Public Library in the Community: Developing a Critical Practice|"Develop an appreciation of the modern public library's history paying particular attention to the wider social forces (economic, political, cultural, social, technological, and professional), which have shaped its evolution and that of public librarianship from the mid-19th century.
Explore theories of the public library in society (historical, contemporary) including the ethics of professional practice. Review the regulatory environment within which the municipal public library operates. Explore the structure of the Canadian public library community and the relationships (formal and informal) between the municipal public library and its partners in the public, private and volunteer sectors. Explore the ways in which the public library identifies and responds to its community's needs in relation to the full range of user groups and non-user groups. Explore attitudes towards and perceptions of the public library as held by citizens, other service professionals, politicians, etc., and as reflected in professional, scholarly, and popular media.
Cultivate a critical awareness of the key issues facing public libraries and discuss strategies for responding to these issues. Inspire an entrepreneurial and innovative orientation towards service planning and delivery through the development of a strategic orientation towards planning. Create a new service initiative and a mechanism for its evaluation. Expose students to a range of professionals working in the field of public librarianship. Cultivate an individual philosophy towards public service and the role of the public sphere in Canadian society.
Pre-requisite: 
INF1230H 
Recommended: 
INF1001H"
INF2157H|http://current.ischool.utoronto.ca/course-descriptions/inf2157h|Theory & Practice of Intellectual Freedom in Libraries|"This course begins by looking at various theories of free speech and intellectual freedom from a philosophical perspective (e.g., John Stuart Mill, John Rawls, Joel Feinberg, Stanley Fish, Cass Sunstein, etc.). It considers the historical development of the legal right to free speech and intellectual freedom in the United States and Canada, with an emphasis on the different legal traditions and precedents that frame discussion of these topics. Attention is paid to some of the reasons for the exceptionalism of First Amendment free-speech rights in the United States compared to international practice in such countries as Germany, France, and South Africa.
The second half of the course explores the application of intellectual freedom to libraries, focusing on the nature of censorship challenges, including, but not limited to, such thorny issues as hate speech, pornography, and intelligent design."
